# requirement-id	state	pull-request	merge-record	gate	evidence
DB-001	MERGED	53	1c5cd723516e7aabb87b5b8a03d8df836b2f9766	scripts/remediation/gates/phase-0.sh	TerraformRegistry.Tests/DbUpPostgresqlMigrationTests.cs
DB-002	MERGED	53	1c5cd723516e7aabb87b5b8a03d8df836b2f9766	scripts/remediation/gates/phase-0.sh	TerraformRegistry.Tests/DbUpIncrementalMigrationTests.cs
DB-003	MERGED	53	1c5cd723516e7aabb87b5b8a03d8df836b2f9766	scripts/remediation/gates/phase-0.sh	TerraformRegistry.Tests/DbUpMigratorTests.cs
DB-004	MERGED	53	1c5cd723516e7aabb87b5b8a03d8df836b2f9766	scripts/remediation/gates/phase-0.sh	TerraformRegistry.Tests/DbUpMigratorTests.cs
DB-005	MERGED	53	1c5cd723516e7aabb87b5b8a03d8df836b2f9766	scripts/remediation/gates/phase-0.sh	docs/phase-0-migration-recovery-runbook.md
DB-006	MERGED	53	1c5cd723516e7aabb87b5b8a03d8df836b2f9766	scripts/remediation/gates/phase-0.sh	scripts/remediation/phase-0-docker-e2e.sh
MOD-001	MERGED	67	aa61bc37f045a65f7f378759fb5fc15feb9126ac	scripts/remediation/gates/phase-1.sh	scripts/remediation/phase-1-local-terraform-smoke.sh
MOD-002	MERGED	67	aa61bc37f045a65f7f378759fb5fc15feb9126ac	scripts/remediation/gates/phase-1.sh	scripts/remediation/phase-1-local-terraform-smoke.sh
MOD-003	MERGED	67	aa61bc37f045a65f7f378759fb5fc15feb9126ac	scripts/remediation/gates/phase-1.sh	scripts/remediation/phase-1-storage-emulator-terraform-smoke.sh
MOD-004	MERGED	67	aa61bc37f045a65f7f378759fb5fc15feb9126ac	scripts/remediation/gates/phase-1.sh	TerraformRegistry.Tests/UnitTests/AzureBlob/AzureBlobModuleServiceDownloadTests.cs
